Partner Name;2010;2011;2012;2013;2014
Philippines;605663,457;939405,05;1227432,715;1220140,979;1197090,772
Poland;28888,206;24544,409;28641,883;95454,337;31114,871
Portugal;54409,33;177992,038;121274,609;67649,932;297150,743
Qatar;8133,251;11083,13;9789,934;10636,198;11760,999
Romania;20814,188;24509,928;36197,703;19661,425;16152,687
Russian Federation;210306,361;238930,372;273926,055;456824,076;325494,287
Rwanda;591,019;4081,357;535,951;;
Saint Helena;22,694;3,544;28,085;28,065;11,354
Samoa;241,017;215,57;604,256;419,008;247,368
San Marino;163,664;59,4;16,9;16,9;23,055
Sao Tome and Principe;;;;;19,271
Saudi Arabia;500258,795;880195,285;743375,525;663127,491;800875,792
Senegal;22867,779;8572,874;671,114;12837,929;17895,506
Serbia, FR(Serbia/Montenegro);965,35;1234,205;1826,894;1577,418;1408,702
Seychelles;12,708;50,209;;25,104;65,802
Sierra Leone;7948,655;11912,04;4854,745;1296,082;793,679
Singapore;151736,304;193116,503;216784,731;215729,199;212373,74
Sint Maarten;;4695,523;7622,335;7133,003;7764,723
Slovak Republic;1239,695;1187,978;2898,388;2909,53;2581,451
Slovenia;700,504;1749,317;458,601;1305,808;1215,914
Solomon Islands;416,201;601,343;622,817;719,934;156,449
Somalia;;3352,417;8907,343;1674,115;4884,104
South Africa;164921,98;181444,221;85988,438;118495,346;102290,515
South Sudan;;;5957,307;2761,708;34522,775
Spain;954331,6;1057647,689;1158236,377;1442283,27;1541276,779
Sri Lanka;32196,038;82651,633;19069,618;73624,828;63420,323
St. Kitts and Nevis;2400,004;2575,607;1915,191;2332,939;2236,228
St. Lucia;4647,083;5638,111;5021,951;4668,036;4717,274
St. Vincent and the Grenadines;15813,14;14455,016;23773,464;15910,953;18372,22
Sudan;;;39473,967;49903,521;36003,803
Suriname;7430,03;9037,542;8913,221;7219,577;7293,336
Swaziland;1162,081;822,905;2089,588;1601,528;1712,012
Sweden;54558,289;60826,002;70796,068;66278,421;64881,486
Switzerland;78487,779;67482,08;76300,586;167991,53;76854,717
Syrian Arab Republic;458577,125;209158,871;15532,652;3131,603;4892,291
Tajikistan;3714,565;;79,771;60,054;
Tanzania;18795,8;61913,797;8263,044;32617,047;30840,583
Thailand;418300,448;449578,353;722421,33;531603,056;667957,364
Togo;6668,866;6141,701;1018,917;20,659;7632,473
Tokelau;4,792;;3,978;;15,12
Tonga;25,093;36,587;2,933;;
Trinidad and Tobago;109625,726;121462,727;124258,464;136773,098;128053,293
Tunisia;247009,366;297200,198;217231,726;155666,014;158938,187
Turkey;892488,352;836982,284;982789,749;790816,081;892691,901
Turkmenistan;;30,264;7,53;;70,359
Turks and Caicos Isl.;3502,599;3386,414;3739,089;3961,226;4408,857
Tuvalu;;;58,942;42,376;
Uganda;7254,345;13074,639;5437,285;683,98;2702,638
Ukraine;16358,436;24934,48;38196,061;57572,942;31403,598
United Arab Emirates;564268,306;579009,752;588171,04;757754,89;708394,346
United Kingdom;562625,633;530904,536;661517,468;675664,053;738814,399
Unspecified;375897,966;225387,686;175000,278;179871,109;101,833
Uruguay;7673,692;8037,319;10272,793;22147,835;21858,477
Uzbekistan;97,908;133,381;177,071;211,43;333,775
Vanuatu;;678,228;615,785;454,675;3,8
Venezuela;737317,148;796195,792;1073515,342;952006,779;731231,855
Vietnam;236054,795;373520,919;628636,529;942755,474;1108846,456
Wallis and Futura Isl.;;;13,44;2,85;
Yemen;113904,68;194948,562;142773,973;144813,296;96988,321
Zambia;193,719;206,597;80,353;125,883;184,447
Zimbabwe;5079,578;6830,934;2638,954;134,98;4491,808
