Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Bosnia and Herzegovina;Import;Textiles and Clothing;Import (US$ Thousand);7548,015;8140,927;8699,669;7997,8;8736,945
Slovenia;Botswana;Import;Textiles and Clothing;Import (US$ Thousand);335,206;39,057;;;
Slovenia;Brazil;Import;Textiles and Clothing;Import (US$ Thousand);55,63;44,991;60,798;54,815;259,924
Slovenia;British Indian Ocean Ter.;Import;Textiles and Clothing;Import (US$ Thousand);;0,18;;;
Slovenia;British Virgin Islands;Import;Textiles and Clothing;Import (US$ Thousand);0,519;11,968;1,241;5,563;1,283
Slovenia;Brunei;Import;Textiles and Clothing;Import (US$ Thousand);19,937;;0,596;;1,32
Slovenia;Bulgaria;Import;Textiles and Clothing;Import (US$ Thousand);6967,439;7787,224;6244,021;7468,339;7419,256
Slovenia;Burkina Faso;Import;Textiles and Clothing;Import (US$ Thousand);364,693;632,713;376,633;244,784;204,956
Slovenia;Burundi;Import;Textiles and Clothing;Import (US$ Thousand);16,684;2,261;0,012;0,027;0,027
Slovenia;Cambodia;Import;Textiles and Clothing;Import (US$ Thousand);4405,654;5747,548;4982,338;7712,875;10189,052
Slovenia;Cameroon;Import;Textiles and Clothing;Import (US$ Thousand);250,814;5,127;13,411;493,428;138,307
Slovenia;Canada;Import;Textiles and Clothing;Import (US$ Thousand);228,67;281,625;222,263;612,952;938,379
Slovenia;Central African Republic;Import;Textiles and Clothing;Import (US$ Thousand);;0,016;;;
Slovenia;Chad;Import;Textiles and Clothing;Import (US$ Thousand);59,204;57,915;;;141,881
Slovenia;Chile;Import;Textiles and Clothing;Import (US$ Thousand);159,759;168,444;5,895;182,991;116,913
Slovenia;China;Import;Textiles and Clothing;Import (US$ Thousand);216406,707;240900,6;195622,007;188136,183;190078,922
Slovenia;Colombia;Import;Textiles and Clothing;Import (US$ Thousand);39,441;19,329;106,322;30,412;19,303
Slovenia;Comoros;Import;Textiles and Clothing;Import (US$ Thousand);;;;;0,223
Slovenia;Congo, Dem. Rep.;Import;Textiles and Clothing;Import (US$ Thousand);0,25;2,635;;0,665;
Slovenia;Cook Islands;Import;Textiles and Clothing;Import (US$ Thousand);;;;;0,71
Slovenia;Costa Rica;Import;Textiles and Clothing;Import (US$ Thousand);12,411;3,435;4,013;2,501;4,788
Slovenia;Cote d'Ivoire;Import;Textiles and Clothing;Import (US$ Thousand);;;0,351;2,706;
Slovenia;Croatia;Import;Textiles and Clothing;Import (US$ Thousand);42935,497;48619,523;39568,438;49652,71;77213,201
Slovenia;Cuba;Import;Textiles and Clothing;Import (US$ Thousand);0,246;;;0,737;
Slovenia;Cura‡ao;Import;Textiles and Clothing;Import (US$ Thousand);;0,379;0,202;;
Slovenia;Cyprus;Import;Textiles and Clothing;Import (US$ Thousand);;6,756;16,9;24,235;79,659
Slovenia;Czech Republic;Import;Textiles and Clothing;Import (US$ Thousand);10903,32;13462,914;9477,587;10359,972;14575,488
Slovenia;Denmark;Import;Textiles and Clothing;Import (US$ Thousand);1166,329;1676,75;1000,818;1470,868;4215,653
Slovenia;Dominica;Import;Textiles and Clothing;Import (US$ Thousand);;;;1,235;1,446
Slovenia;Dominican Republic;Import;Textiles and Clothing;Import (US$ Thousand);8,397;17,405;21,687;67,902;35,552
Slovenia;East Timor;Import;Textiles and Clothing;Import (US$ Thousand);;0,033;;;
