Partner Name;2010;2011;2012;2013;2014
Switzerland;28732,309;4438,376;2061,964;2501,606;15823,91
Tanzania;130,458;405,447;502,615;613,287;666,496
Thailand;18229,228;26335,941;24843,163;21914,51;23678,697
Trinidad and Tobago;3476,453;2918,343;5264,792;4973,495;5485,744
Tunisia;73,087;200,562;239,013;368,878;169,783
Turkey;6900,989;7903,748;7594,98;10388,817;10092,862
Turkmenistan;243,075;39,124;;;2,8
Turks and Caicos Isl.;929,209;523,768;848,456;867,002;1577,994
Uganda;121,547;233,77;316,055;42,601;21,499
Ukraine;3285,507;5699,687;3044,832;2247,792;1292,594
United Arab Emirates;13237,971;6504,161;7686,581;8017,665;7638,718
United Kingdom;233285,598;290072,149;254012,091;154889,607;273162,335
Uruguay;8236,788;7664,526;3851,487;1804,259;2386,642
Uzbekistan;40,376;11,887;4,2;13,72;6,72
Vanuatu;;;130,078;;
Venezuela;13135,035;19829,796;22268,569;24969,848;13328,88
Vietnam;6508,774;9204,3;7314,736;23452,725;20922,653
Yemen;40,174;31,214;92,016;138,447;50,067
Zambia;12,918;4,52;;21,118;
Zimbabwe;;90,636;81,49;;
