Partner Name;2010;2011;2012;2013;2014
Serbia, FR(Serbia/Montenegro);164359,878;133967,895;145806,801;524903,458;279577,381
Seychelles;6471,72;6265,409;4645,786;5761,388;4084,276
Sierra Leone;29023,924;26550,327;17845,303;41548,402;28673,052
Singapore;17427400,49;19115843,22;20231817,38;17842838,5;16425445,27
Sint Maarten;;23803,009;54968,225;60003,951;49537,996
Slovak Republic;1073148,169;1407638,321;1779491,79;1763493,888;2100144,719
Slovenia;465114,51;544536,589;561619,541;574975,001;699289,279
Solomon Islands;990,748;1313,184;1572,329;8841,794;8706,212
Somalia;74,702;189,367;306,257;371,236;185,954
South Africa;8169368,547;9422167,131;8625720,96;8412352,645;8295855,58
South Sudan;;;9,869;201,285;66,454
Spain;8553370,032;11017572,13;11766621,42;11667118,15;14415944,8
Sri Lanka;1748123,096;2085760,23;2257259,152;2451358,887;2676025,851
St. Kitts and Nevis;50610,721;54708,71;56825,77;54301,053;55934,621
St. Lucia;17839,919;17981,919;15187,839;16535,511;18261,983
St. Vincent and the Grenadines;1779,259;1939,029;2330,278;2888,473;1378,55
Sudan;;;6524,197;10368,547;11941,634
Suriname;191377,702;301585,222;288524,031;303122,465;452630,111
Swaziland;120987,493;89284,003;66637,548;58940,474;81527,535
Sweden;10497281,13;11488893,23;10221636,09;9173747,665;10266046,58
Switzerland;19276370,96;24549578,6;25946595,07;28514353,87;31463621,96
Syrian Arab Republic;429331,459;393219,263;19456,989;19213,37;12363,428
Tajikistan;1504,909;12287,776;26838,677;671,817;3606,706
Tanzania;42814,55;58954,228;114862,791;70326,213;86109,184
Thailand;22693571,8;24831556,72;26066838,76;26168824,64;27122648,58
Togo;9120,443;30536,625;51910,954;7716,653;9120,679
Tokelau;3530,465;6699,608;5242,736;1621,208;779,32
Tonga;1833,205;1662,145;2247,827;1719,744;2703,926
Trinidad and Tobago;6613277,597;8112990,551;8158370,115;6493927,516;5994952,074
Tunisia;405357,149;352049,887;737859,325;748896,173;520864,222
Turkey;4206398,326;5219144,353;6293647,32;6668783,359;7356734,795
Turkmenistan;48398,797;43430,094;90367,265;31114,952;20223,61
Turks and Caicos Isl.;11702,487;9334,46;9470,333;10557,772;8295,778
Tuvalu;20,559;2,031;40,005;25,67;68,86
Uganda;57669,174;45881,727;34478,933;47086,632;45931,076
Ukraine;1077657,69;1457061,261;1349665,542;1036255,271;934048,618
United Arab Emirates;1145337,711;2439760,792;2252945,931;2293086,998;2814211,584
United Kingdom;49764315,18;51163383,94;54963670,85;52749213,89;54298980,27
Uruguay;235379,696;291440,418;357532,717;423082,838;456282,526
Uzbekistan;68078,316;51163,447;25939,962;26586,261;14356,045
Vanuatu;1585,396;1860,207;2596,805;4192,881;7124,249
Venezuela;32707347,18;43256475,2;38723631,62;31997363,53;30219108,38
Vietnam;14867855,64;17487836,51;20267676,97;24654014,02;30588508,63
Wallis and Futura Isl.;15,622;5,742;0,019;296,015;31,826
Western Sahara;0,019;17,651;114,438;710,261;122,789
Yemen;181360,929;561709,854;87107,413;65593,85;41200,651
Zambia;29567,049;47321,448;63020,002;37700,326;55626,424
Zimbabwe;58900,871;51421,685;52453,255;13887,943;64932,18
