Partner Name;2010;2011;2012;2013;2014
Russian Federation;643814,083;735789,595;810069,443;826791,887;708969,664
Rwanda;17661,497;8872,267;14091,979;11685,394;7245,589
Saint Helena;20,777;143,288;631,739;;20,778
Samoa;925,112;857,504;1086,066;1610,591;2097,666
San Marino;725,807;184,278;98,465;108,417;242,185
Sao Tome and Principe;100,117;1353,198;288,566;188,599;126,715
Saudi Arabia;807434,332;800696,743;1040832,359;1057152,105;1190879,181
Senegal;12387,599;28187,249;10167,005;26545,495;16036,016
Serbia, FR(Serbia/Montenegro);6062,163;5827,264;7936,829;7606,249;9897,267
Seychelles;259,962;346,018;276,203;528,366;482,416
Sierra Leone;4808,956;3734,907;6130,17;4258,857;3922,239
Singapore;2815862,271;3092414,168;3025401,867;3614745,492;3275421,168
Sint Maarten;;12941,641;21381,899;24461,069;24381,612
Slovak Republic;9933,458;8406,519;8020,813;6823,45;11595,47
Slovenia;10796,369;13963,996;12621,88;16165,206;24699,156
Solomon Islands;119,894;86,538;567,059;64,221;253,125
Somalia;2,78;;111,509;15;63,683
South Africa;643375,392;693203,898;684388,946;671922,046;647276,203
South Sudan;;;102,883;42,291;22,47
Spain;3609603,546;2858343,74;2661847,538;3143417,128;2751085,778
Sri Lanka;18273,071;23031,035;19285,814;19665,64;18372,97
St. Kitts and Nevis;4478,688;4048,537;3801,543;4373,448;5381,624
St. Lucia;9943,534;8330,148;9520,676;10003,517;9615,398
St. Vincent and the Grenadines;3161,01;3887,912;3466,982;3876,019;4341,527
Sudan;;;2296,246;19090,125;22101,906
Suriname;50734,06;83790,67;79528,207;89371,626;74238,961
Swaziland;4704,448;2548,022;6651,297;7281,946;10006,801
Sweden;564693,13;665925,696;780241,414;606388,251;777594,373
Switzerland;2811986,882;3111426,89;2415903,051;2839714,019;3139755,712
Syrian Arab Republic;4417,474;2048,308;1350,307;766,522;1141,887
Tajikistan;585,195;1059,629;1686,318;1147,589;791,996
Tanzania;5314,647;10395,717;24710,631;36111,365;9135,307
Thailand;1031227,423;1254494,261;1259581,677;1183524,255;1148537,096
Togo;654,395;414,852;3567,201;11057,554;1887,607
Tokelau;165,923;159,277;125,727;;72,915
Tonga;410,176;378,527;471,546;416,797;302,002
Trinidad and Tobago;168751,806;203114,795;240805,33;215680,849;209547,669
Tunisia;32555,731;31500,998;39276,281;47726,834;47578,558
Turkey;557748,42;700771,785;612914,289;657962,316;784168,171
Turkmenistan;967,887;6135,02;5808,787;4473,408;5813,758
Turks and Caicos Isl.;4444,808;4773,569;4454,41;5355,395;6078,959
Tuvalu;108,948;;2,795;;
Uganda;4547,248;4581,302;3526,971;6734,882;8067,646
Ukraine;97850,136;93501,808;71441,161;108747,659;75119,24
United Arab Emirates;641133,972;726703,926;755223,385;800554,133;868321,241
United Kingdom;7245820,106;8178482,157;7604785,18;5717876,134;6121734,554
Uruguay;190224,616;235420,748;252198,865;299811,887;267253,924
Uzbekistan;1287,462;460,215;4756,453;4433,036;3940,783
Vanuatu;250,694;263,242;1018,954;318,371;597,716
Venezuela;1579898,758;2284799,815;2389508,633;2209204,335;1486665,466
Vietnam;227044,375;279834,806;292676,233;353467,34;358200,12
Wallis and Futura Isl.;10,872;;;30,787;66,689
Yemen;16982,126;23139,04;31189,392;31016,537;14903,809
Zambia;6317,687;8055,976;4866,447;9700,668;5478,831
Zimbabwe;5529,896;4614,709;13852,08;13361,936;7892,667
