Partner Name;2010;2011;2012;2013;2014
Haiti;3927,117;3609,839;3491,254;2953,461;4701,732
Honduras;1347,18;1929,811;2636,351;6281,857;4910,601
Hong Kong, China;64611,387;60755,434;58147,605;55451,768;56784,022
Hungary;304446,244;212770,471;140992,479;156026,633;204452,944
Iceland;7653,864;10130,928;8950,118;1928,045;1844,372
India;4779365,572;5968862,164;7275702,29;7588301,985;8034377,121
Indonesia;187233,742;280142,195;380108,612;615584,669;442920,675
Iraq;54,868;;2,4;;3,953
Ireland;25247750,22;31006104,92;24882338,22;22230072,8;24270282,72
Israel;6003309,781;6690857,394;6359105,204;6348320,863;5450018,676
Italy;3606776,874;3912859,385;3958235,583;4308267,314;4373474,316
Jamaica;32050,636;139696,6;11091,911;57305,114;4959,002
Japan;8415654,366;8463050,276;8347158,813;8442580,587;8387800,932
Jordan;25081,655;34545,706;30130,137;24948,857;26448,153
Kazakhstan;69135,928;83487,585;139017,68;108239,782;58832,624
Kenya;1440,071;884,698;1303,17;1734,898;2860,979
Kiribati;333,753;;;;
Korea, Rep.;1484638,387;1989169,309;1978381,944;1616097,322;2328154,833
Kuwait;148183,705;169097,711;223775,057;162411,918;117195,573
Kyrgyz Republic;974,746;1143,313;173,607;73,767;208,813
Lao PDR;15285,555;8299,657;750,25;6604,723;2962,485
Latvia;39317,661;31542,896;1466,592;23834,455;1649,183
Lebanon;10730,27;1940,405;2289,074;3079,203;4151,084
Liberia;;;4,5;11,057;
Libya;36893,853;24837,514;;27423,699;14664,922
Lithuania;38098,284;166403,147;148343,424;87551,364;59185,825
Luxembourg;459,521;1043,177;5931,466;1748,756;4124,934
Macao;12969,361;14228,527;15037,606;15490,23;15344,657
Macedonia, FYR;94,546;7,242;16,062;416,678;152,753
Madagascar;2778,034;3778,578;2151,238;3590,692;4373,978
Malawi;3,1;9,51;19,309;6,6;
Malaysia;235519,228;304227,394;290387,995;296054,95;411559,792
Maldives;2,94;;;;
Mali;7,225;;;;
Malta;45808,61;25376,193;27840,13;26264,322;25763,499
Marshall Islands;27,121;;;;
Mauritania;31,743;37,459;43,618;45,113;12,477
Mauritius;440,016;713,627;;30,877;1221,691
Mexico;2705509,704;3153852,845;3381983,538;3640663,693;3959555,23
Micronesia, Fed. Sts.;;;;24,613;
Moldova;7,887;13,712;16,384;3,551;147,781
Mongolia;3;122,797;7,722;;14,21
Montenegro;89,37;12,555;34,006;;
Morocco;83455,231;128916,813;160988,35;260819,225;295161,373
Mozambique;2,4;176,785;50,872;;
Namibia;30,55;;2,456;3,146;3,431
Nauru;8,44;;;;
Nepal;240,137;184,022;434,173;694,273;825,298
Netherlands;2752419,664;3015729,734;3951073,099;4128655,577;3964910,479
Netherlands Antilles;9620,967;;;;
New Caledonia;60,439;325,829;;;
New Zealand;256297,042;358371,038;431530,958;402289,182;452295,404
Nicaragua;840,492;915,717;1491,749;1666,73;1992,459
Niger;15,631;30,843;27,174;10,323;51,589
Nigeria;406,197;295,166;155,995;325,99;329,767
Norway;756637,382;723915,144;545960,486;576828,779;565388,392
Occ.Pal.Terr;2,64;;2,052;2,904;
Oman;175244,814;150162,008;485392,583;260735,001;194614,424
Other Asia, nes;671900,714;763013,379;838837,193;858169,52;1104678,138
Pakistan;1520,944;791,063;1289,596;1732,87;1708,143
Panama;9564,447;3677,414;7161,334;30747,744;8315,202
Papua New Guinea;;8,549;;5,626;
Paraguay;1222,762;1286,756;1239,966;1328,048;1465,878
Peru;46254,013;42847,215;30883,459;26486,522;36613,665
Philippines;88178,679;115308,55;112964,399;89905,785;94045,78
Poland;148030,66;157253,72;182136,371;170204,543;164612,848
Portugal;77293,189;167200,914;120711,083;132021,566;282494,185
Qatar;137534,016;174973,794;211917,298;395040,646;538763,956
Romania;106997,639;207019,752;143099,472;112473,859;87681,117
Russian Federation;2026584,427;2684801,541;2080993,694;2279670,75;2198543,947
Rwanda;3,927;;;6,223;24,814
Saint Helena;34,875;;;;
Samoa;311,4;47,3;;;
San Marino;;;8,556;2,83;
Saudi Arabia;563037,167;826098,912;709762,417;651916,131;609013,367
Senegal;93,509;75,888;28,421;5,745;10,688
Serbia, FR(Serbia/Montenegro);14406,182;4189,502;121,103;2351,2;3441,747
Sierra Leone;68,697;;255,246;143,897;26,911
Singapore;4610603,131;5999221,8;6123104,788;5019862,527;5472266,701
Sint Maarten;;;4,453;53,97;50,896
Slovak Republic;11546,67;11707,739;15915,569;15860,082;16307,799
Slovenia;114696,712;130933,499;112962,154;105758,569;145774,573
South Africa;587722,227;799207,691;739711,837;704807,714;715786,456
Spain;1569204,491;1609866,459;1641728,65;1838930,527;2212369,859
Sri Lanka;27883,66;33926,021;40912,019;38496,472;36573,482
St. Kitts and Nevis;;17,28;3,551;8,204;1020,949
St. Lucia;7,267;2,5;32,576;4,81;
Suriname;151239,114;259362,997;241983,658;218913,379;160525,47
Swaziland;6225,58;6055,129;61,916;844,449;179,436
