Partner Name;2010;2011;2012;2013;2014
Netherlands;3202446,504;4734031,73;4830381,508;3587953,566;3247983,916
Netherlands Antilles;868416,302;;;;
New Zealand;96,743;67,627;301,795;201,812;490,283
Niger;23820,297;284169,54;75368,661;;
Nigeria;30410498,26;33703299,99;18868687,78;11631439,17;3715627,756
Norway;3092660,987;4983921,972;3565987,371;2392669,613;2069218,46
Oman;378753,569;1685223,086;363647,741;97777,01;11009,975
Other Asia, nes;396622,483;156474,696;314804,363;39612,726;67464,901
Pakistan;;;12,703;3,863;
Panama;58,338;301,639;212,861;4456,93;8418,402
Papua New Guinea;;20213,326;;;
Peru;1197929,394;1595384,631;1431197,026;1533825,987;1280578,99
Philippines;130,23;2600,709;77,364;57,385;57,385
Poland;92132,497;72257,833;226733,897;252576,539;43594,423
Portugal;611410,301;674797,927;767134,123;754262,391;828708,27
Qatar;256995,458;795776,359;449007,475;457245,43;686027,595
Romania;11869,807;8708,599;17343,131;17307,374;240
Russian Federation;18475401,65;25424852,54;21306851,58;19457990,01;13891708,83
Saudi Arabia;30495537,21;46236768,56;54407980,97;50656579,19;45922573,83
Senegal;4;;5613,022;;
Serbia, FR(Serbia/Montenegro);6465,263;31050,584;;20953,392;
Singapore;128551,448;141980,691;81851,853;772208,271;170955,595
Sint Maarten;;111,927;86,4;100,267;8,5
Slovak Republic;7;10232,281;;;
Slovenia;;;;8,553;
South Africa;44663,263;62452,092;42515,98;54267,725;47654,151
Spain;1396372,153;2901544,7;2270074,59;1762584,974;2465287,865
Sri Lanka;2,934;57,759;39,373;51,628;11,483
St. Kitts and Nevis;;3,508;;;
Suriname;;;;4771,947;189592,069
Swaziland;;;;;44,087
Sweden;673503,487;1221707,36;604392,838;359132,605;738541,259
Switzerland;5096,438;35127,205;85492,377;9119,13;83026,002
Syrian Arab Republic;400327,243;366623,108;9,546;;
Thailand;327637,421;681366,553;813982,561;340872,055;281549,304
Togo;;;46231,28;;
Trinidad and Tobago;3270503,225;3685394,072;3819165,907;2460370,333;2157947,961
Tunisia;84872,748;32082,454;328893,73;339964,358;163744,457
Turkey;191623,875;156441,228;100290,646;226896,164;88509,022
Turkmenistan;21349,708;13649,143;62484,524;5611,323;
Ukraine;165976,498;235648,513;179442,058;70360,789;80170,583
United Arab Emirates;78603,42;394014,175;181689,647;172532,491;640119,412
United Kingdom;7987462,009;7571479,874;7627145,7;7182477,135;5744288,548
Uruguay;2710,308;65,993;8267,616;17267,888;
Uzbekistan;7902,486;644,895;;;
Venezuela;31658469,73;41962950,66;37478983,67;30915014,5;29059416,71
Vietnam;407495,329;433061,976;354143,527;526104,629;431038,723
Yemen;174600,977;559182,291;84395,455;62968,9;38385,133
